#2 Plus 2 Guaranteed Graduation Plan (for transfer students),2 Plus 2 Guaranteed Graduation Plan (for transfer students),http://2plus2.admissions.uiowa.edu
"Biomedical Engineering, Department of (College of Engineering)","Biomedical Engineering, Department of (College of Engineering)",https://bme.engineering.uiowa.edu
"Biomedical Imaging, Iowa Institute for","Biomedical Imaging, Iowa Institute for",http://www.biomed-imaging.uiowa.edu/
Biomedical Science Graduate Program,Biomedical Science Graduate Program,https://medicine.uiowa.edu/biomed
Bionic Bus (Transit Services for Persons With Disabilities),Bionic Bus (Transit Services for Persons With Disabilities),https://transportation.uiowa.edu/transit-services-persons-disabilities-bionic-bus
"Biosciences Advantage, Iowa (IBA)","Biosciences Advantage, Iowa (IBA)",http://iba.biology.uiowa.edu/
Biostatistics Consulting Center,Biostatistics Consulting Center,http://www.public-health.uiowa.edu/biostatistics-consulting-center/
"Biostatistics, Department of","Biostatistics, Department of",http://www.public-health.uiowa.edu/biostat/
"Birth Defects Registry, see Iowa Registry for Congenital and Inherited Disorders","Birth Defects Registry, see Iowa Registry for Congenital and Inherited Disorders",http://www.public-health.uiowa.edu/ircid/
"Birthday Treats for Students, see Hawkeye Treats","Birthday Treats for Students, see Hawkeye Treats",https://cougar.its.uiowa.edu/treats
"Blackboard, see ICON, Iowa Courses Online","Blackboard, see ICON, Iowa Courses Online",http://icon.uiowa.edu/index.shtml
Blommers Measurement Resources Library,Blommers Measurement Resources Library,https://education.uiowa.edu/services/paul-blommers-measurement-resources-library
Blood and Marrow Transplantation Program,Blood and Marrow Transplantation Program,https://uihc.org/blood-and-marrow-transplant-program
"Blood Center, DeGowin","Blood Center, DeGowin",http://www.uihealthcare.org/BloodCenter/
"Board in Control of Athletics, see Presidential Committee on Athletics","Board in Control of Athletics, see Presidential Committee on Athletics",https://president.uiowa.edu/charter-committees/presidential-committee-athletics-non-charter
"Board of Regents, State of Iowa","Board of Regents, State of Iowa",http://www.regents.iowa.gov/
"Bone Marrow Transplantation, see Blood and Marrow Transplantation Program","Bone Marrow Transplantation, see Blood and Marrow Transplantation Program",https://uihc.org/blood-and-marrow-transplant-program
BONGO (Bus on the Go),BONGO (Bus on the Go),http://www.ebongo.org/
"Book Arts, see Center for the Book","Book Arts, see Center for the Book",http://book.grad.uiowa.edu
"Book Store, University, see Hawk Shop","Book Store, University, see Hawk Shop",http://www.hawkshop.com
"Book, University of Iowa Center for the","Book, University of Iowa Center for the",http://book.grad.uiowa.edu/
"Box Offices, University (see Tickets)","Box Offices, University (see Tickets)",http://uiowa.edu/homepage/calendars/tickets
"Brand Manual, University","Brand Manual, University",http://vpsc.uiowa.edu/brand/
"Budget Development Office, see University Budget Office","Budget Development Office, see University Budget Office",http://fmb.fo.uiowa.edu/university-budget
"Budget Officers, Collegiate &amp; Auxiliary","Business Officers, Collegiate & Auxiliary",https://controller.fo.uiowa.edu/business-officers
Building and Landscape Services,Building and Landscape Services,http://www.facilities.uiowa.edu/bls/
"Building for Iowa, UI Campus Master Plan","Building for Iowa, UI Campus Master Plan",http://masterplan.facilities.uiowa.edu
Burlington Atomic Energy Commission Plant- Former Worker Program (BAECP-FWP),Burlington Atomic Energy Commission Plant- Former Worker Program (BAECP-FWP),http://cph.uiowa.edu/iowafwp/documents/BAECP_brochure.pdf
Burn Treatment Center,Burn Treatment Center,https://uihc.org/burn-treatment-center
Bus on the Go (BONGO),Bus on the Go (BONGO),http://www.ebongo.org/
"Bus Passes, Employee","Bus Passes, Employee",http://transportation.uiowa.edu/u-pass
"Bus Service, Campus, see Cambus","Bus Service, Campus, see Cambus",http://transportation.uiowa.edu/cambus
Business Continuity,Business Continuity,https://uiowa.edu/riskmanagement/business-continuity-university-iowa
"Business Library, Marvin A. Pomerantz","Business Library, Marvin A. Pomerantz",http://www.lib.uiowa.edu/biz/
Business Manager,Business Manager,https://uiowa.edu/businessmanager
Business Services,Business Services,http://www.uiowa.edu/businsvc/
"Business, Henry B. Tippie College of","Business, Henry B. Tippie College of",http://tippie.uiowa.edu/
"CAB, see Campus Activities Board","CAB, see Campus Activities Board",http://cab.uiowa.edu/
"Cafes, Campus","Cafes, Campus",http://dining.uiowa.edu/
"Calendar, Academic Year","Calendar, Academic Year",http://www.registrar.uiowa.edu/Calendars/AcademicDeadlines/tabid/67/Default.aspx
"Calendars, Campus Events","Calendars, Campus Events",http://uiowa.edu/homepage/calendars/
Cambus,Cambus,http://transportation.uiowa.edu/cambus
"Camps, Summer, see Youth and Pre-College Programs","Camps, Summer, see Youth and Pre-College Programs",http://admissions.uiowa.edu/parents-family/youth-pre-college-programs
"Camps, Wildlife","Camps, Wildlife",http://recserv.uiowa.edu/WildlifeCamps
Campus &amp; Community,"Campus & Community, see Visitors",http://uiowa.edu/visitors
Campus Activities Board,Campus Activities Board,http://cab.uiowa.edu/
Campus Data,Campus Data,https://data.uiowa.edu/
Campus Events Calendar,Campus Events Calendar,http://events.uiowa.edu/
"Campus Information Center, see IMU Welcome Center","Campus Information Center, see IMU Welcome Center",http://imu.uiowa.edu/services/welcome-center/
Campus IT Communities,Campus IT Communities,http://itcommunities.uiowa.edu/web
Campus Mail,Campus Mail,http://printmail.bo.uiowa.edu/printmail/mailsvc/campus/campmail.shtml
Campus Maps,Campus Maps,http://maps.uiowa.edu/
Campus Master Plan,Campus Master Plan,https://uiowa.edu/planning-and-development/campus-planning/campus-master-plan
Campus Office Directory,Campus Office Directory,https://www.dna.its.uiowa.edu/Whitepages/OfficeDirectory/
Campus Planning,Campus Planning,https://uiowa.edu/planning-and-development/campus-planning
Campus Planning Committee,Campus Planning Committee,https://uiowa.edu/planning-and-development/committees/campus-planning-committee
Campus Recreation and Wellness Center,Campus Recreation and Wellness Center,http://recserv.uiowa.edu/facilities/campus-recreation-wellness-center
"Campus Software Program, ITS","Campus Software Program, ITS",https://helpdesk.its.uiowa.edu/software/
Campus Tours,Campus Tours,http://admissions.uiowa.edu/visit-campus
Campus Walking Routes,Campus Walking Routes,http://hr.uiowa.edu/livewell/walking-maps
"Cancellations, see Severe Weather","Cancellations, see Severe Weather",http://emergency.uiowa.edu/content/severe-weather-0
"Cancer Center, Holden Comprehensive","Cancer Center, Holden Comprehensive",https://cancer.uiowa.edu/
Cancer Education and Information,Cancer Education and Information,https://uihc.org/types-cancer
"Cancer Registry, see State Health Registry","Cancer Registry, see State Health Registry",http://www.public-health.uiowa.edu/shri/index.html
Capital Assets Management,Capital Assets Management,http://cam.fo.uiowa.edu
"Cardiology, see UI Heart and Vascular Center","Cardiology, see UI Heart and Vascular Center",https://uihc.org/heart
"Cardiothoracic Surgery, Department of","Cardiothoracic Surgery, Department of",https://www.medicine.uiowa.edu/CTSurgery/CTSurgery_twoColumn.aspx?pageid=16990
"Cardiovascular Health, Assessment, Management, and Prevention Service (CHAMPS)","Cardiovascular Health, Assessment, Management, and Prevention Service (CHAMPS)",https://uihc.org/cardiac-rehabilitation-champs-iowa-river-landing-0
"Care Packages for Students, see Hawkeye Treats","Care Packages for Students, see Hawkeye Treats",https://cougar.its.uiowa.edu/treats
"Career Center, Pomerantz","Career Center, Pomerantz",http://careers.uiowa.edu
Career Development,Career Development,https://hr.uiowa.edu/development/career-development-advising-services
"Caribbean, Diaspora, and Atlantic Studies Program","Caribbean, Diaspora, and Atlantic Studies Program",http://international.uiowa.edu/cda/
Carver Center for Genomics,Carver Center for Genomics,http://www.biology.uiowa.edu/ccg/
"Carver College of Medicine, Roy J. and Lucille A.","Carver College of Medicine, Roy J. and Lucille A.",http://www.medicine.uiowa.edu/
"Carver Laboratory for Molecular Diagnosis, see The John and Marcia Carver Nonprofit Genetic Testing Laboratory","Carver Laboratory for Molecular Diagnosis, see The John and Marcia Carver Nonprofit Genetic Testing Laboratory",https://www.carverlab.org/
Carver Mississippi Riverside Environmental Research Station,Carver Mississippi Riverside Environmental Research Station,http://www.iihr.uiowa.edu/lacmrers/
"Carver Nonprofit Genetic Testing Laboratory, The John and Marcia","Carver Nonprofit Genetic Testing Laboratory, The John and Marcia",https://www.carverlab.org/
Carver-Hawkeye Arena,Carver-Hawkeye Arena,http://www.hawkeyesports.com/sports/2016/6/13/facilities-iowa-carver-hawkeye-html.aspx
"Cash Handling Policies and Procedures, University","Cash Handling Policies and Procedures, University",http://afr.fo.uiowa.edu/cash-handling
"Cashier's Office, see University Billing Office","Cashier's Office, see University Billing Office",http://ubill.fo.uiowa.edu
"Catalog, General","Catalog, General",http://registrar.uiowa.edu/general-catalog
"Catalyst Award, Honoring Diversity","Catalyst Award, Honoring Diversity",http://diversity.uiowa.edu/awards/diversity-catalyst-awards
"Catering, University","Catering, University",http://catering.uiowa.edu
Cayuse Grant Software,Cayuse Grant Software,https://research.uiowa.edu/dsp/cayuse
Celebration of Excellence and Achievement Among Women,Celebration of Excellence and Achievement Among Women,http://www.uiowa.edu/celebrationofexcellence/
"Center for Advanced Reproductive Care, see Infertility Care","Center for Advanced Reproductive Care, see In Vitro Fertilization",http://www.uihealthcare.org/infertilitycare/
Center for Advanced Studies in Measurement and Assessment (CASMA),Center for Advanced Studies in Measurement and Assessment (CASMA),http://www.education.uiowa.edu/casma/
Center for Advancement,"Center for Advancement, University of Iowa",https://www.foriowa.org
Center for Advancing Multimorbidity Science,Center for Advancing Multimorbidity Science ,https://goo.gl/4SKCq2
Center for Asian and Pacific Studies (CAPS),Center for Asian and Pacific Studies (CAPS),http://international.uiowa.edu/caps
Center for Biocatalysis and Bioprocessing (CBB),Center for Biocatalysis and Bioprocessing (CBB),https://cbb.research.uiowa.edu
Center for Bioinformatics and Computational Biology (CBCB),Center for Bioinformatics and Computational Biology (CBCB),http://genome.uiowa.edu/
Center for Computer-Aided Design (CCAD),Center for Computer-Aided Design (CCAD),http://www.ccad.uiowa.edu/
Center for Conferences,Center for Conferences,http://www.continuetolearn.uiowa.edu/conferences/
Center for Disabilities and Development,Center for Disabilities and Development,https://uichildrens.org/medical-services/center-disabilities-and-development
Center for Disability Research and Education,Center for Disability Research and Education (CDRE),http://www.education.uiowa.edu/centers/cdre/cdre-home
Center for Diversity &amp; Enrichment,Center for Diversity & Enrichment,http://diversity.uiowa.edu/cde
Center for Emerging Infectious Diseases,Center for Emerging Infectious Diseases,http://www.public-health.uiowa.edu/ceid/
Center for Evaluation &amp; Assessment,Center for Evaluation & Assessment,http://www.education.uiowa.edu/centers/cea/cea-home
"Center for Excellence in Image-Guided Radiation Therapy, see Radiation Therapy","Center for Excellence in Image-Guided Radiation Therapy, see Radiation Therapy",https://uihc.org/medical-services/radiation-therapy
Center for Gene Therapy of Cystic Fibrosis and Other Genetic Diseases,Center for Gene Therapy of Cystic Fibrosis,http://www.medicine.uiowa.edu/genetherapy/
Center for Global and Regional Environmental Research (CGRER),Center for Global and Regional Environmental Research (CGRER),http://www.cgrer.uiowa.edu/
Center for Health Effects of Environmental Contamination (CHEEC),Center for Health Effects of Environmental Contamination (CHEEC),https://cheec.uiowa.edu
"Center for Human Rights, UI (UICHR)","Center for Human Rights, UI (UICHR)",http://uichr.org
Center for Immunology and Immune-Based Diseases,Center for Immunology and Immune-Based Diseases,https://medicine.uiowa.edu/immunologycenter/
Center for International Rural and Environmental Health (CIREH),Center for International Rural and Environmental Health (CIREH),http://www.public-health.uiowa.edu/Cireh/
Center for New Music,Center for New Music,https://uiowa.edu/cnm/
Center for Research on Undergraduate Education (CRUE),Center for Research on Undergraduate Education (CRUE),http://www.education.uiowa.edu/crue/
Center for Student Involvement and Leadership,Center for Student Involvement and Leadership,http://csil.uiowa.edu/
"Center for Teaching, see Office of Teaching, Learning, & Technology","Center for Teaching, see Office of Teaching, Learning, & Technology",http://teach.its.uiowa.edu/
Center for the Book,Center for the Book,http://book.grad.uiowa.edu/
Center for the Study of Group Processes,Center for the Study of Group Processes,https://clas.uiowa.edu/sociology/research/center-study-group-processes
Center on Aging,Center on Aging,http://aging.uiowa.edu
"Centers for Enterprise, Iowa, see Research and Economic Development","Centers for Enterprise, Iowa, see Research and Economic Development",http://research.uiowa.edu
"Central Mail Service, see Mailing","Central Mail Service, see Mailing",https://printmail.bo.uiowa.edu/printmail/mailsvc.shtml
Central Microscopy Research Facility,Central Microscopy Research Facility,http://cmrf.research.uiowa.edu/
"Central Receiving, see Materials Management","Central Receiving, see Materials Management",https://uiowa.edu/generalstores/central-receiving
"Certificate Programs, Undergraduate, College of Liberal Arts &amp; Sciences","Certificate Programs, Undergraduate, College of Liberal Arts & Sciences",http://clas.uiowa.edu/departments-and-divisions/certificates
Certificates of Insurance,Certificates of Insurance,https://uiowa.edu/riskmanagement/other
"Certification Programs, Online","Certification Programs, Online",https://distance.uiowa.edu/programs-undergraduate-and-graduate-certificates
"Challenge, The Iowa","Challenge, The Iowa",https://newstudents.uiowa.edu/iowa-challenge
"CHAMPS (Cardiovascular Health, Assessment, Management, and Prevention Service)","CHAMPS (Cardiovascular Health, Assessment, Management, and Prevention Service)",https://uihc.org/cardiac-rehabilitation-champs-iowa-river-landing-0
"Chaplain, UIHC See Spiritual Services","Chaplain, UIHC See Spiritual Services",https://uihc.org/spiritual-services
Charter Committees,Charter Committees,http://president.uiowa.edu/about-university/charter-committees
"Cheerleading, see Spirit Squad","Cheerleading, see Spirit Squad",http://www.hawkeyesports.com/sports/c-spirit/iowa-c-spirit-body.html
"Chemical and Biochemical Engineering, Department of","Chemical and Biochemical Engineering, Department of",https://cbe.engineering.uiowa.edu/
Chemistry Library,Chemistry Library,http://www.lib.uiowa.edu/chem/
"Chemistry, Department of","Chemistry, Department of",https://chem.uiowa.edu/
Child Care,Child Care,http://hr.uiowa.edu/family-services/child-care
Child Health Specialty Clinics,Child Health Specialty Clinics,http://www.uichildrens.org/communityclinics/
"Child Language, Iowa Collaboration on","Child Language, Iowa Collaboration on ",http://clas.uiowa.edu/comsci/research/child-and-adult-language-labs/iowa-collaboration-child-language
Childbirth and Parenting Education,Childbirth and Parenting Education,https://uihc.org/ui-childbirth-and-parenting-education
"Children's Hospital, University of Iowa","Children's Hospital, University of Iowa",http://www.uichildrens.org/
Children's Miracle Network Hospitals,Children's Miracle Network Hospitals,http://www.uichildrens.org/cmn/
"Chinese, see Asian and Slavic Languages and Literatures","Chinese, see Asian and Slavic Languages and Literatures",http://clas.uiowa.edu/dwllc/asll/
"Cinematic Arts, Department of","Cinematic Arts, Department of",http://clas.uiowa.edu/ccl/
CIO Chief Information Officer,CIO Chief Information Officer,http://cio.uiowa.edu/
City of Iowa City,City of Iowa City,http://www.icgov.org/
"City of Literature, UNESCO","City of Literature, UNESCO",http://cityofliteratureusa.org/
"Civil and Environmental Engineering, Department of","Civil and Environmental Engineering, Department of",https://cee.engineering.uiowa.edu
Claims and Incident Reporting,Claims and Incident Reporting,https://uiowa.edu/riskmanagement/claims-and-incident-reporting
Class Reunions,Class Reunions,http://www.iowalum.com/reunions/
"Classics, Department of","Classics, Department of",http://clas.uiowa.edu/classics/
"Classification &amp; Compensation, see Compensation &amp; Classification","Classification & Compensation, see Compensation & Classification",http://hr.uiowa.edu/compensation-classification
"Classrooms, General Assignment","Classrooms, General Assignment",http://classrooms.uiowa.edu/
"Clinical and Translational Science, Institute for","Clinical and Translational Science, Institute for",http://www.icts.uiowa.edu/
"Clinical Laboratory Science Program, see Medical Laboratory Science Program","Clinical Laboratory Science Program, see Medical Laboratory Science Program",https://www.medicine.uiowa.edu/pathology/education/medical-laboratory-scientist-program-mlsp
Clinical Outreach Services,Clinical Outreach Services,https://uihc.org/clinical-outreach-services
"Clinical Research, UI Hospitals and Clinics","Clinical Research, UI Hospitals and Clinics",https://uihc.org/clinical-research-university-iowa
"Clinical Staff Office, UI Health Care","Clinical Staff Office, UI Health Care",https://uihc.org/clinical-staff-office
Clinical Trials Statistical &amp; Data Management Center,Clinical Trials Statistical & Data Management Center,http://www.ctsdmc.org/
"Closures, see Access and Construction Alerts","Closures, see Access and Construction Alerts",http://www.facilities.uiowa.edu/closures/
"Coalition Against Sexual Assault, Iowa","Coalition Against Sexual Assault, Iowa",http://www.iowacasa.org/
Code of Student Life,Code of Student Life,http://dos.uiowa.edu/policy-list/current/student-responsibilities-6/code-of-student-life-2012-2013-academic-year/
COGS (Campaign to Organize Graduate Students),COGS (Campaign to Organize Graduate Students),http://www.cogs.org/
Collective Bargaining,Collective Bargaining,https://hr.uiowa.edu/support/labor-union-relations
"College of Business Placement Services, see Pomerantz Career Center","College of Business Placement Services, see Pomerantz Career Center",http://careers.uiowa.edu/
"College of Business, Henry B. Tippie","College of Business, Henry B. Tippie",http://tippie.uiowa.edu/
College of Dentistry,College of Dentistry,http://www.dentistry.uiowa.edu/
College of Education,College of Education,http://www.education.uiowa.edu
College of Engineering,College of Engineering,http://www.engineering.uiowa.edu/
College of Law,College of Law,http://www.law.uiowa.edu/
College of Liberal Arts &amp; Sciences,College of Liberal Arts & Sciences,http://www.clas.uiowa.edu
College of Liberal Arts &amp; Sciences Faculty Governance,College of Liberal Arts & Sciences Faculty Governance,http://www.clas.uiowa.edu/faculty/governance/
College of Medicine Core Research Facilities,College of Medicine Core Research Facilities,http://www.medicine.uiowa.edu/research.aspx?pageid=77
"College of Medicine, Roy J. and Lucille A. Carver","College of Medicine, Roy J. and Lucille A. Carver",http://www.medicine.uiowa.edu/
College of Nursing,College of Nursing,http://www.nursing.uiowa.edu/
College of Pharmacy,College of Pharmacy,http://pharmacy.uiowa.edu
College of Public Health,College of Public Health,http://www.public-health.uiowa.edu
"College, Graduate","College, Graduate",http://www.grad.uiowa.edu/
"Colleges, Departments and Academic Units","Colleges, Departments and Academic Units",http://uiowa.edu/academics
Collegiate Teaching Awards,Collegiate Teaching Awards,https://clas.uiowa.edu/faculty/collegiate-teaching-awards
"Commencement, UI","Commencement, UI",http://registrar.uiowa.edu/commencement
"Committee on Diversity, University","Committee on Diversity, University",https://president.uiowa.edu/charter-committees/committee-diversity
